循环工作模式读取4x地址区域寄存器内的数据，实时工作模式读取3x地址区域寄存器内的数据
序号,协议类型,仪表类型,仪表厂商,仪表地址,仪表波特率,仪表校验位,供温(单位：℃；数据类型：float),回温(单位：℃；数据类型：float),温差(单位：℃；数据类型：float),瞬时流量(数据类型：float),瞬时流量单位(00-m3/h  01-m3/min 02-m3/s 03-L/h 04-GAL/min 05-GAL/h),瞬时热量(数据类型：float),瞬时热量单位(00-W 01-Kw 02-Mw 03-J/h 04-KJ/h 05-GJ/h),累计流量(数据类型：float),累计流量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计热量(数据类型：float),累计热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),累计冷量(数据类型：float),累计冷量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),结算日热量(数据类型：float),结算日热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),error code,累积水量(数据类型：float),累积水量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累积气量(数据类型：float),累积气量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计工作时间(数据类型：float),累计工作时间单位(00-s 01-min 02-h 03-day),状态字,备用,备用,备用,备用,备用,备用
循环工作模式读取4x地址区域寄存器内的数据，实时工作模式读取3x地址区域寄存器内的数据
序号,协议类型,仪表类型,仪表厂商,仪表地址,仪表波特率,仪表校验位,供温(单位：℃；数据类型：float),回温(单位：℃；数据类型：float),温差(单位：℃；数据类型：float),瞬时流量(数据类型：float),瞬时流量单位(00-m3/h  01-m3/min 02-m3/s 03-L/h 04-GAL/min 05-GAL/h),瞬时热量(数据类型：float),瞬时热量单位(00-W 01-Kw 02-Mw 03-J/h 04-KJ/h 05-GJ/h),累计流量(数据类型：float),累计流量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计热量(数据类型：float),累计热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),累计冷量(数据类型：float),累计冷量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),结算日热量(数据类型：float),结算日热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),error code,累积水量(数据类型：float),累积水量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累积气量(数据类型：float),累积气量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计工作时间(数据类型：float),累计工作时间单位(00-s 01-min 02-h 03-day),状态字,备用,备用,备用,备用,备用,备用
循环工作模式读取4x地址区域寄存器内的数据，实时工作模式读取3x地址区域寄存器内的数据
序号,协议类型,仪表类型,仪表厂商,仪表地址,仪表波特率,仪表校验位,供温(单位：℃；数据类型：float),回温(单位：℃；数据类型：float),温差(单位：℃；数据类型：float),瞬时流量(数据类型：float),瞬时流量单位(00-m3/h  01-m3/min 02-m3/s 03-L/h 04-GAL/min 05-GAL/h),瞬时热量(数据类型：float),瞬时热量单位(00-W 01-Kw 02-Mw 03-J/h 04-KJ/h 05-GJ/h),累计流量(数据类型：float),累计流量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计热量(数据类型：float),累计热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),累计冷量(数据类型：float),累计冷量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),结算日热量(数据类型：float),结算日热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),error code,累积水量(数据类型：float),累积水量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累积气量(数据类型：float),累积气量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计工作时间(数据类型：float),累计工作时间单位(00-s 01-min 02-h 03-day),状态字,备用,备用,备用,备用,备用,备用
表：254,1,2,3,4—7,8,9,10—11,12—13,14—15,16—17,18,19—20,21,22—23,24,25—26,27,28—29,30,31—32,33,34,35—36,37,38—39,40,41—42,43,44,45,46,47,48,49,50
循环工作模式读取4x地址区域寄存器内的数据，实时工作模式读取3x地址区域寄存器内的数据
序号,协议类型,仪表类型,仪表厂商,仪表地址,仪表波特率,仪表校验位,供温(单位：℃；数据类型：float),回温(单位：℃；数据类型：float),温差(单位：℃；数据类型：float),瞬时流量(数据类型：float),瞬时流量单位(00-m3/h  01-m3/min 02-m3/s 03-L/h 04-GAL/min 05-GAL/h),瞬时热量(数据类型：float),瞬时热量单位(00-W 01-Kw 02-Mw 03-J/h 04-KJ/h 05-GJ/h),累计流量(数据类型：float),累计流量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计热量(数据类型：float),累计热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),累计冷量(数据类型：float),累计冷量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),结算日热量(数据类型：float),结算日热量单位(00-J 01-KJ 02-MJ 03-GJ 04-Wh 05-KWh 06-MWh),error code,累积水量(数据类型：float),累积水量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累积气量(数据类型：float),累积气量单位(00-m3 01-L 02-GAL（加仑） 03-ft3),累计工作时间(数据类型：float),累计工作时间单位(00-s 01-min 02-h 03-day),状态字,备用,备用,备用,备用,备用,备用
表：254,1,2,3,4—7,8,9,10—11,12—13,14—15,16—17,18,19—20,21,22—23,24,25—26,27,28—29,30,31—32,33,34,35—36,37,38—39,40,41—42,43,44,45,46,47,48,49,50
